steph, curry,,,Golden State Warriors,NBA,,762,756,34.3,8.3,17.4,.477,3.7,8.6,.433,4.6,8.9,.519,.583,3.8,4.2,.907,0.7,3.9,4.6,6.5,1.7,0.2,3.1,2.4,24.2
lebron, james,,,Los Angeles Lakers,NBA,,1310,1309,38.2,9.8,19.5,.504,1.5,4.4,.345,8.3,15.2,.550,.543,5.8,7.9,.733,1.2,6.3,7.4,7.4,1.6,0.7,3.5,1.8,27.0
damian, lillard,,,Portland Trail Blazers,NBA,,682,682,36.3,8.1,18.4,.439,3.0,8.0,.375,5.1,10.4,.488,.520,5.5,6.2,.893,0.6,3.6,4.2,6.6,1.0,0.3,2.8,2.0,24.7
klay, thompson,,,Golden State Warriors,NBA,,615,578,33.1,7.3,16.0,.459,2.9,7.0,.419,4.4,9.0,.491,.551,1.9,2.3,.848,0.4,3.0,3.5,2.3,0.9,0.5,1.7,2.1,19.5
kevin, durant,,,Brooklyn Nets,NBA,,884,881,36.7,9.2,18.6,.494,1.9,4.9,.384,7.3,13.7,.534,.545,6.7,7.6,.883,0.7,6.3,7.1,4.2,1.1,1.1,3.1,1.9,27.0
james, harden,,,Brooklyn Nets,NBA,,877,663,34.4,7.4,16.7,.444,2.8,7.7,.363,4.6,9.0,.513,.528,7.5,8.7,.858,0.8,4.7,5.5,6.5,1.6,0.5,3.7,2.6,25.1
kawhi, leonard,,,Los Angeles Clippers,NBA,,576,549,31.3,6.9,14.0,.493,1.5,3.9,.384,5.4,10.1,.535,.547,3.9,4.5,.858,1.2,5.2,6.4,2.9,1.8,0.6,1.6,1.7,19.2
giannis, antetokounmpo,,,Milwaukee Bucks,NBA,,589,524,32.5,7.6,14.4,.532,0.6,2.2,.287,7.0,12.1,.577,.554,5.0,7.0,.717,1.7,7.4,9.1,4.5,1.2,1.3,2.8,3.0,20.9
russell, westbrook,,,Washington Wizards,NBA,,943,926,34.7,8.2,18.8,.437,1.1,3.7,.305,7.1,15.2,.470,.467,5.6,7.0,.790,1.7,5.7,7.4,8.5,1.7,0.3,4.1,2.6,23.2
anthony, davis,,,Los Angeles Lakers,NBA,,564,559,34.4,8.9,17.3,.514,0.5,1.6,.312,8.4,15.7,.534,.528,5.6,7.0,.799,2.5,7.7,10.2,2.3,1.4,2.3,1.9,2.3,23.9
luka, doncic,,,Dallas Mavericks,NBA,,199,199,33.3,8.7,19.1,.457,2.7,8.1,.331,6.0,11.0,.550,.527,5.6,7.6,.735,1.1,7.3,8.4,7.7,1.0,0.4,4.0,2.2,25.7
paul, george,,,Los Angeles Clippers,NBA,,706,658,33.5,6.9,15.7,.436,2.5,6.5,.384,4.4,9.2,.473,.516,4.0,4.7,.847,0.9,5.5,6.4,3.5,1.7,0.4,2.6,2.7,20.2
nikola, jokic,,,Denver Nuggests,NBA,,453,412,29.9,7.1,13.3,.533,1.0,2.8,.347,6.1,10.5,.583,.570,3.3,3.9,.835,2.6,7.2,9.8,6.0,1.1,0.7,2.6,2.8,18.5
kyrie, irving,,,Brooklyn Nets,NBA,,582,582,33.9,8.4,17.9,.470,2.2,5.6,.391,6.2,12.3,.505,.531,3.8,4.4,.881,0.8,3.0,3.8,5.7,1.3,0.4,2.6,2.3,22.8
joel, embid,,,Philadelphia 76ers,NBA,,260,260,30.6,8.2,16.9,.487,1.1,3.5,.329,7.1,13.4,.527,.520,7.3,9.0,.808,2.4,8.9,11.3,3.1,0.8,1.7,3.4,3.2,24.8
